番号,5,
名前,小坂菜绪,
呼び名,小坂菜绪,
基礎,0,2000
基礎,1,2000
基礎,2,10000
基礎,5,1500
基礎,10,1500
基礎,11,1000
基礎,12,1000
基礎,13,1000
基礎,14,1000
基礎,15,10000
基礎,16,1000
基礎,17,1000
基礎,19,1000
基礎,20,1000
基礎,21,1000
素質,1,1
素質,2,1
能力,欲望,3
能力,12,3
フラグ,タイプ,6
フラグ,開始位置,18
フラグ,開始地区,2
フラグ,モラル,300
フラグ,常００地区,2;2,18 后街
フラグ,常０１地区,2
フラグ,常０２地区,2
フラグ,常０３地区,2
フラグ,常０４地区,2
フラグ,常０５地区,2
フラグ,常０６地区,2
フラグ,常０７地区,2
フラグ,常０８地区,2
フラグ,常０９地区,2
フラグ,常１０地区,2
フラグ,常１１地区,2
;;;フラグ,常１２地区,2
;;;フラグ,常１３地区,2
;;;フラグ,常１４地区,2
;;;フラグ,常１５地区,2
;;;フラグ,常１６地区,2
;;;フラグ,常１７地区,2
フラグ,常１８地区,2
フラグ,常１９地区,2
フラグ,常２０地区,2
フラグ,常２１地区,2
フラグ,常２２地区,2
フラグ,常２３地区,2
フラグ,常００位置,18;2,18 后街
フラグ,常０１位置,18
フラグ,常０２位置,18
フラグ,常０３位置,18
フラグ,常０４位置,18
フラグ,常０５位置,18
フラグ,常０６位置,18
フラグ,常０７位置,18
フラグ,常０８位置,18
フラグ,常０９位置,18
フラグ,常１０位置,18
フラグ,常１１位置,18
;;;フラグ,常１２位置,18
;;;フラグ,常１３位置,18
;;;フラグ,常１４位置,18
;;;フラグ,常１５位置,18
;;;フラグ,常１６位置,18
;;;フラグ,常１７位置,18
フラグ,常１８位置,18
フラグ,常１９位置,18
フラグ,常２０位置,18
フラグ,常２１位置,18
フラグ,常２２位置,18
フラグ,常２３位置,18
フラグ,常００モラル,300;2,18 后街
フラグ,常０１モラル,300
フラグ,常０２モラル,300
フラグ,常０３モラル,300
フラグ,常０４モラル,300
フラグ,常０５モラル,300
フラグ,常０６モラル,300
フラグ,常０７モラル,300
フラグ,常０８モラル,300
フラグ,常０９モラル,300
フラグ,常１０モラル,300
フラグ,常１１モラル,300
フラグ,常１２モラル,300
フラグ,常１３モラル,300
フラグ,常１４モラル,300
フラグ,常１５モラル,300
フラグ,常１６モラル,300
フラグ,常１７モラル,300
フラグ,常１８モラル,300
フラグ,常１９モラル,300
フラグ,常２０モラル,300
フラグ,常２１モラル,300
フラグ,常２２モラル,300
フラグ,常２３モラル,300
